Analytes	EntrezGeneSymbol
X10000.28	CRYBB2
X10001.7	RAF1
X10003.15	ZNF41
X10006.25	ELK1
X10008.43	GUCA1A
X10010.10	BECN1
X10011.65	OCRL
X10012.5	SPDEF
X10014.31	SNAI2
X10015.119	KCNAB2
X10022.207	POLH
X10023.32	VDR
X10024.44	HOGA1
X10025.1	DLD
X10030.8	MUTYH
X10035.6	DUSP4
X10037.98	SIGLEC12
X10039.32	PNP
X10040.63	TP63
X10041.3	HNF4A
X10042.8	SGK3
X10043.31	BRD4
X10045.47	CUL3
X10046.55	BIRC2
X10047.12	NCF2
X10048.7	CBFB
X10049.112	TERF1
X10053.5	ILK
X10054.3	GAN
X10056.5	FOXM1
X10058.1	RAD23A
X10063.10	FANCL
X10064.12	RBBP9
X10069.2	PIN1
X10070.22	PLCG2
X10073.22	TDP1
X10074.128	BRD2
X10075.75	ACBD6
X10076.1	AP4M1
X10078.5	BAG3
X10080.9	EIF2B1
X10081.17	SATB2
X10082.251	NEFL
X10085.25	STAR
X10086.39	CBS
X10087.10	CRYAA
X10088.37	APRT
X10089.7	ASMTL
X10336.3	STUB1
X10339.48	ENO2
X10342.55	PIAS4
X10346.5	STAT3
X10351.51	IRF1
X10354.57	STAT3
X10356.21	JUN
X10361.25	OAS1
X10362.35	MYC
X10363.13	SMAD3
X10364.6	SMAD2
X10365.132	IL12B|IL23A
X10366.11	PDGFRA
X10367.62	IL12A|IL12B
X10370.21	STAT1
X10372.18	STAT6
X10382.1	ANGPTL3
X10390.21	ZNRF3
X10391.1	ANGPTL3
X10396.6	MCL1
X10398.110	ANKRD1
X10418.36	STX12
X10419.1	SCARA5
X10420.30	FAIM
X10425.3	B4GALT5
X10428.1	KIR2DS2
X10430.31	SLC3A2
X10432.3	SHISAL1
X10435.2	AGA
X10438.19	CSF2RA
X10439.57	AMY2B
X10440.26	CLMP
X10442.1	TMEM190
X10445.20	APOM
X10447.18	PABPC3
X10449.31	SHISA2
X10451.11	NUCB1
X10453.7	CEACAM20
X10454.99	DNAJC16
X10455.196	IL31
X10457.3	IL18RAP
X10462.14	INSL5
X10463.23	ALPI
X10464.6	ANTXR1
X10472.53	TNFRSF14
X10473.2	TFF2
X10479.18	MMP10
X10480.33	CD59
X10490.3	RPN1
X10496.11	CLCA1
X10499.1	TMEM106A
X10505.12	RNF43
X10506.53	PGRMC2
X10507.166	ACRV1
X10510.62	SCIMP
X10512.13	CSF2RB
X10513.13	KCNIP3
X10514.5	PTGDS
X10521.10	MXRA8
X10527.22	DHX9
X10528.2	DPEP1
X10530.8	PSMB6
X10531.18	NRAS
X10534.40	PARP1
X10539.30	CD99L2
X10546.2	TSPEAR
X10550.37	BMPR1B
X10551.7	LAT
X10552.88	KLRC4
X10553.8	TOR1AIP2
X10557.6	TEX29
X10558.26	PCDH9
X10560.1	ITM2C
X10561.5	PGLYRP3
X10562.42	NETO2
X10563.13	LYSMD3
X10565.19	SLITRK3
X10569.28	MFAP2
X10571.14	MGAT1
X10572.65	CST8
X10574.10	B2M
X10575.31	PUF60
X10576.7	PLXDC2
X10580.14	SFTA2
X10582.36	POMK
X10583.1	TMEM108
X10584.7	NDUFS4
X10588.39	ST3GAL5
X10589.7	RAET1L
X10605.22	APMAP
X10606.34	TOR1AIP1
X10608.9	HTN1
X10612.18	PLOD3
X10613.33	GOLM2
X10615.18	MPZ
X10616.67	PODXL2
X10618.190	LRP2
X10620.21	MSMB
X10621.26	PRR16
X10623.19	MUC1
X10624.45	SPINK13
X10626.116	ST6GALNAC3
X10627.87	APLP2
X10630.5	HTATIP2
X10631.9	PGRMC2
X10636.1	CD200R1
X10637.50	ELAPOR1
X10638.1	TINF2
X10643.16	OLFM3
X10647.18	ASCC1
X10663.42	INSIG1
X10666.7	GNPTG
X10667.78	C1orf185
X10668.5	STX4
X10672.75	SFTPB
X10693.43	KLRG2
X10695.12	WFDC10B
X10699.52	LRP1
X10700.10	IGSF11
X10702.1	COL28A1
X10703.203	SUDS3
X10704.91	IRAG2
X10705.14	ST6GALNAC3
X10708.3	GNRH2
X10710.23	ZPBP2
X10713.151	CD300LB
X10714.7	ACE
X10716.35	PSMD5
X10721.76	HSPA1A
X10722.13	SYK
X10737.96	SERPINB1
X10738.11	FBLN5
X10741.22	CSF1
X10743.13	SLITRK1
X10746.24	DKK3
X10748.216	PCDHB2
X10749.18	HSPA1A
X10752.8	CDYL2
X10753.31	ADAM7
X10754.113	PROK2
X10756.34	UCN3
X10758.2	KERA
X10760.107	GRIA4
X10761.5	TMED2
X10762.2	KLRG2
X10767.52	ADGRG2
X10780.10	RAB3D
X10781.19	CLEC4G
X10785.8	LRRC52
X10798.4	CD300E
X10800.15	SERPINH1
X10801.11	EFNA2
X10809.14	KLRB1
X10814.7	CD1A
X10815.2	HABP4
X10816.150	PILRA
X10817.26	TOMM20L
X10818.36	SMPD1
X10819.108	FBLN1
X10825.12	VSIG10
X10827.67	LINGO3
X10830.5	EFCAB14
X10832.24	B4GALT6
X10833.64	HHIP
X10835.25	A4GNT
X10842.7	GCNT4
X10847.1	SIGLEC15
X10848.137	BTNL3
X10851.77	EBI3
X10852.114	HNRNPDL
X10854.15	GCNT4
