study,tissue,filepath,qtl_type
ARIC,blood,ARIC/EA/seqid.txt,pQTL
BrainMeta,DLPFC,BrainMeta_all_caQTL_appended_lifted_to38.txt,caQTL
kosoy,microglia,caQTL/microglia_macrophage_meta-caQTL_summary_result.gz,caQTL
xQTLServe,DLPFC,haQTLs/xQTLServe_haQTL_appended_lifted_to38.csv,haQTL
BrainMeta,DLPFC,BrainMeta_all_mQTL_appended_lifted_to38.txt,mQTL
xQTLServe,DLPFC,mQTLs/xQTLServe_mQTL_appended_lifted_to38.csv,mQTL
NGI,all_CSF,Somalogic_Complete_Analyte_list.txt,pQTL
NGI,female_CSF,Somalogic_Complete_Analyte_list.txt,pQTL
NGI,male_CSF,Somalogic_Complete_Analyte_list.txt,pQTL
UKB,blood,ukb/,pQTL
