Analyte	Gene	CHR	TWAS.Z	TWAS.P	P0	fdr_p	specific	topSNP	Discovery	NEW_hit	Tissue	P0_add	P0_cum	label_color	nudge_y
NA	EPHX2	8	6.5915	4.35e-11	27490779	1.05183e-07	0	0	Primary	NA	B	1591733856	1619224635	NA	NA
NA	ADAM10	15	5.894	3.77e-09	58595204	4.55793e-06	0	0	Primary	NA	B	2704379055	2762974259	NA	NA
NA	TSPAN14	10	5.759183	8.45e-09	80454166	6.8107e-06	3	0	Primary	N	B	1934034850	2014489016	#000000	NA
NA	DOC2A	16	-5.6577	1.53e-08	30005509	9.24885e-06	0	0	Primary	NA	B	2836032653	2866038162	NA	NA
NA	CTSH	15	5.51045	3.58e-08	78921058	1.731288e-05	0	0	Primary	NA	B	2704379055	2783300113	NA	NA
NA	BIN1	2	5.18009	2.22e-07	127048027	8.9466e-05	0	0	Primary	NA	B	276724047	403772074	NA	NA
NA	TMEM106B	7	5.0808	3.76e-07	12211241	0.000129881142857143	0	0	Primary	NA	B	1403002861	1415214102	NA	NA
NA	CCDC6	10	4.991737	5.98e-07	59788763	0.0001807455	0	0	Primary	NA	B	1934034850	1993823613	NA	NA
NA	ETFA	15	4.83862	1.31e-06	76215355	0.000351953333333333	3	3	Primary	Y	B	2704379055	2780594410	#0A09FA	2
NA	TPCN1	12	-4.697	2.64e-06	113221050	0.00049104	0	0	Primary	NA	B	2261842245	2375063295	NA	NA
NA	VKORC1	16	4.7202	2.36e-06	31090842	0.00049104	0	0	Primary	NA	B	2836032653	2867123495	NA	NA
NA	ACE	17	-4.702	2.58e-06	63477061	0.00049104	0	0	Primary	NA	B	2955980578	3019457639	NA	NA
NA	CD2AP	6	4.73862	2.15e-06	47477789	0.00049104	0	0	Primary	NA	B	1202467741	1249945530	NA	NA
NA	ALDH1A2	15	-4.66088	3.15e-06	57953424	0.00054405	0	0	Primary	NA	B	2704379055	2762332479	NA	NA
NA	PSEN1	14	-4.5741	4.78e-06	73136418	0.000770536	3	3	Primary	Y	B	2568892738	2642029156	#0A09FA	2
NA	EGFR	7	4.4966	6.9e-06	55019021	0.0010427625	0	0	Primary	NA	B	1403002861	1458021882	NA	NA
NA	FAM171A2	17	-4.4635	8.06e-06	44353215	0.00114641647058824	0	0	Primary	NA	B	2955980578	3000333793	NA	NA
NA	RASA4B	7	4.4214	9.81e-06	102482445	0.00131781	3	0	Primary	Y	B	1403002861	1505485306	#0A09FA	NA
NA	ACOT1	14	-4.2624	2.02e-05	73537114	0.00257071578947368	0	0	Primary	NA	B	2568892738	2642429852	NA	NA
NA	RTF2	20	4.2433	2.2e-05	56468591	0.0026598	0	0	Primary	NA	B	3267584620	3324053211	NA	NA
NA	SPATA2	20	4.0965	4.19e-05	49903391	0.00482448571428571	0	0	Primary	NA	B	3267584620	3317488011	NA	NA
NA	NCK1	3	4.081426	4.48e-05	136862208	0.00492392727272727	1	1	Primary	Y	B	548458626	685320834	#0A09FA	0.4
NA	STX4	16	4.0576	4.96e-05	31032889	0.00521446956521739	0	0	Primary	NA	B	2836032653	2867065542	NA	NA
NA	SNX32	11	-3.98	6.89e-05	65833641	0.006941675	0	0	Primary	NA	B	2097588750	2163422391	NA	NA
NA	STX6	1	3.96347	7.39e-05	180972725	0.007147608	0	0	Primary	NA	B	0	180972725	NA	NA
NA	PAPLN	14	-3.9249	8.68e-05	73237497	0.00777095172413793	0	0	Primary	NA	B	2568892738	2642130235	NA	NA
NA	COG7	16	-3.9119	9.16e-05	23388493	0.00777095172413793	0	0	Primary	NA	B	2836032653	2859421146	NA	NA
NA	TOM1L2	17	3.921	8.82e-05	17843514	0.00777095172413793	3	3	Primary	N	B	2955980578	2973824092	#007404	2
NA	CDK14	7	-3.9077	9.32e-05	90466424	0.00777095172413793	3	0	Primary	Y	B	1403002861	1493469285	#0A09FA	NA
NA	ACOT4	14	-3.8973	9.73e-05	73591706	0.00784238	0	0	Primary	NA	B	2568892738	2642484444	NA	NA
NA	SLC44A2	19	-3.7709	0.000163	10602457	0.012714	3	3	Primary	Y	B	3179033054	3189635511	#0A09FA	2
NA	TDRKH	1	3.74877	0.000178	151770107	0.013450125	3	3	Primary	Y	B	0	151770107	#0A09FA	2
