Analytes	ENSG_ID	Gene	Start	End	CHR	SeqId	SeqIdVersion	SomaId	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol	NormGroup	Strand	Type
X10000.28	ENSG00000244752	CRYBB2	25212564	25231870	22	10000-28	3	SL019233	Beta-crystallin B2	CRBB2	P43320	1415	CRYBB2	S1	1	protein_coding
X10001.7	ENSG00000132155	RAF1	12582101	12664201	3	10001-7	3	SL002564	RAF proto-oncogene serine/threonine-protein kinase	c-Raf	P04049	5894	RAF1	S1	-1	protein_coding
X10003.15	ENSG00000147124	ZNF41	47445178	47483222	X	10003-15	3	SL019245	Zinc finger protein 41	ZNF41	P51814	7592	ZNF41	S1	-1	protein_coding
X10006.25	ENSG00000126767	ELK1	47635520	47650604	X	10006-25	3	SL019228	ETS domain-containing protein Elk-1	ELK1	P19419	2002	ELK1	S2	-1	protein_coding
X10008.43	ENSG00000048545	GUCA1A	42173364	42181338	6	10008-43	3	SL019234	Guanylyl cyclase-activating protein 1	GUC1A	P43080	2978	GUCA1A	S1	1	protein_coding
X10010.10	ENSG00000126581	BECN1	42810134	42833350	17	10010-10	3	SL014943	Beclin-1	BECN1	Q14457	8678	BECN1	S1	-1	protein_coding
X10011.65	ENSG00000122126	OCRL	129539849	129592561	X	10011-65	3	SL019246	Inositol polyphosphate 5-phosphatase OCRL-1	OCRL	Q01968	4952	OCRL	S2	1	protein_coding
X10012.5	ENSG00000124664	SPDEF	34537802	34556333	6	10012-5	3	SL014669	SAM pointed domain-containing Ets transcription factor	SPDEF	O95238	25803	SPDEF	S1	-1	protein_coding
X10014.31	ENSG00000019549	SNAI2	48917598	48921740	8	10014-31	3	SL007803	Zinc finger protein SNAI2	SLUG	O43623	6591	SNAI2	S1	-1	protein_coding
X10015.119	ENSG00000069424	KCNAB2	5990927	6101193	1	10015-119	3	SL014924	Voltage-gated potassium channel subunit beta-2	KCAB2	Q13303	8514	KCNAB2	S1	1	protein_coding
X10022.207	ENSG00000170734	POLH	43576185	43620523	6	10022-207	3	SL019229	DNA polymerase eta	POLH	Q9Y253	5429	POLH	S1	1	protein_coding
X10023.32	ENSG00000111424	VDR	47841537	47943048	12	10023-32	3	SL004071	Vitamin D3 receptor	VDR	P11473	7421	VDR	S1	-1	protein_coding
X10024.44	ENSG00000241935	HOGA1	97584323	97612802	10	10024-44	3	SL019235	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1	Q86XE5	112817	HOGA1	S1	1	protein_coding
X10025.1	ENSG00000091140	DLD	107891162	107931730	7	10025-1	3	SL008018	Dihydrolipoyl dehydrogenase, mitochondrial	DLDH	P09622	1738	DLD	S2	1	protein_coding
X10030.8	ENSG00000132781	MUTYH	45329163	45340893	1	10030-8	3	SL006373	Adenine DNA glycosylase	MutY homolog	Q9UIF7	4595	MUTYH	S1	-1	protein_coding
X10035.6	ENSG00000120875	DUSP4	29333064	29350684	8	10035-6	3	SL007389	Dual specificity protein phosphatase 4	DUS4	Q13115	1846	DUSP4	S1	-1	protein_coding
X10036.201	ENSG00000174306	ZHX3	41178448	41317731	20	10036-201	3	SL019252	Zinc fingers and homeoboxes protein 3	ZHX3	Q9H4I2	23051	ZHX3	S2	-1	protein_coding
X10037.98	ENSG00000254521	SIGLEC12	51491227	51501800	19	10037-98	3	SL025986	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	SIG12:Ig-like V-type 2	Q96PQ1	89858	SIGLEC12	S1	-1	protein_coding
X10039.32	ENSG00000198805	PNP	20461992	20477094	14	10039-32	3	SL005262	Purine nucleoside phosphorylase	PNP	P00491	4860	PNP	S2	1	protein_coding
X10040.63	ENSG00000073282	TP63	189631389	189897276	3	10040-63	3	SL007662	Tumor protein 63	P73L	Q9H3D4	8626	TP63	S1	1	protein_coding
X10041.3	ENSG00000101076	HNF4A	44355699	44432845	20	10041-3	3	SL007226	Hepatocyte nuclear factor 4-alpha	HNF4A	P41235	3172	HNF4A	S2	1	protein_coding
X10042.8	ENSG00000288602	C8orf44-SGK3	66667596	66860472	8	10042-8	3	SL015131	Serine/threonine-protein kinase Sgk3	SGK3	Q96BR1	100533105	SGK3	S1	1	protein_coding
X10043.31	ENSG00000141867	BRD4	15235519	15332545	19	10043-31	3	SL019249	Bromodomain-containing protein 4	BRD4	O60885	23476	BRD4	S1	-1	protein_coding
