SomaID	num_samples	BETA	SE	P	TargetFullName	Target	UniProt	EntrezGeneID	EntrezGeneSymbol
X10000.28	2947	0.0153224069437496	0.0330083201996285	0.642540325329759	Beta-crystallin B2	CRBB2	P43320	1415	CRYBB2
X10001.7	3052	0.0315272482866328	0.0323694783086947	0.330144110109839	RAF proto-oncogene serine/threonine-protein kinase	c-Raf	P04049	5894	RAF1
X10003.15	3040	0.0108784596865045	0.030546523828183	0.72176999665299	Zinc finger protein 41	ZNF41	P51814	7592	ZNF41
X10006.25	3065	-0.0357785599933355	0.0323623140560522	0.269003627170881	ETS domain-containing protein Elk-1	ELK1	P19419	2002	ELK1
X10008.43	3062	0.0124838434315693	0.0333906722817049	0.708525573488481	Guanylyl cyclase-activating protein 1	GUC1A	P43080	2978	GUCA1A
X10010.10	2894	0.0429296386042067	0.0342443608632679	0.210080148875558	Beclin-1	BECN1	Q14457	8678	BECN1
X10011.65	3072	-0.00865500891795473	0.0328951084627775	0.792484167473291	Inositol polyphosphate 5-phosphatase OCRL-1	OCRL	Q01968	4952	OCRL
X10012.5	3054	0.00668188470352665	0.0309242279337412	0.828945579646759	SAM pointed domain-containing Ets transcription factor	SPDEF	O95238	25803	SPDEF
X10014.31	3008	0.0221733890563022	0.0332602927954795	0.505039433588061	Zinc finger protein SNAI2	SLUG	O43623	6591	SNAI2
X10015.119	3036	0.0369298450436478	0.0332238764308503	0.266422637434193	Voltage-gated potassium channel subunit beta-2	KCAB2	Q13303	8514	KCNAB2
X10022.207	3038	0.0880371107493788	0.0325895421891018	0.00694375738770552	DNA polymerase eta	POLH	Q9Y253	5429	POLH
X10023.32	3037	0.00664796257629577	0.0308233002680439	0.829252002284354	Vitamin D3 receptor	VDR	P11473	7421	VDR
X10024.44	3042	0.0521445818655629	0.033212225516378	0.116510498056185	4-hydroxy-2-oxoglutarate aldolase, mitochondrial	HOGA1	Q86XE5	112817	HOGA1
X10025.1	2823	0.042710787362667	0.0337158192266663	0.205336850983982	Dihydrolipoyl dehydrogenase, mitochondrial	DLDH	P09622	1738	DLD
X10030.8	3047	0.0118711139860941	0.0332059663450602	0.720742976519615	Adenine DNA glycosylase	MutY homolog	Q9UIF7	4595	MUTYH
X10035.6	3047	0.0436519243644555	0.0332991549367035	0.189990756607566	Dual specificity protein phosphatase 4	DUS4	Q13115	1846	DUSP4
X10037.98	3022	0.0226611807762227	0.0332210345330751	0.495207372514122	Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long	SIG12:Ig-like V-type 2	Q96PQ1	89858	SIGLEC12
X10039.32	2704	0.025762846673582	0.034889188168007	0.46032457267028	Purine nucleoside phosphorylase	PNP	P00491	4860	PNP
X10040.63	3040	-0.0004246893181228	0.0329743768454287	0.989724884870095	Tumor protein 63	P73L	Q9H3D4	8626	TP63
X10041.3	3062	0.0420683790321661	0.0292962494503557	0.151115623871171	Hepatocyte nuclear factor 4-alpha	HNF4A	P41235	3172	HNF4A
X10042.8	3030	-0.0349923301633054	0.0331326650382261	0.290994906846127	Serine/threonine-protein kinase Sgk3	SGK3	Q96BR1	100533105	SGK3
X10043.31	3055	-0.0324341438619936	0.0330333151478222	0.326246604978904	Bromodomain-containing protein 4	BRD4	O60885	23476	BRD4
X10045.47	3033	0.00185681042939976	0.0321983144255785	0.95401697150262	Cullin-3	CUL3	Q13618	8452	CUL3
X10046.55	2741	-0.014734851304294	0.033227246526769	0.657470709957281	Baculoviral IAP repeat-containing protein 2	cIAP-1	Q13490	329	BIRC2
X10047.12	2923	0.017768980164127	0.0332264886254506	0.592840652935625	Neutrophil cytosol factor 2	NCF-2	P19878	4688	NCF2
X10048.7	3062	-0.0538319779657525	0.0325976887305204	0.0987595805647035	Core-binding factor subunit beta	PEBB	Q13951	865	CBFB
X10049.112	3057	0.0144764179545054	0.0333787411748121	0.664535973250799	Telomeric repeat-binding factor 1	TERF1	P54274	7013	TERF1
X10053.5	3008	-0.0141300336453874	0.033281343921517	0.671185819797642	Integrin-linked protein kinase	ILK1	Q13418	3611	ILK
X10054.3	3053	-0.00284371980759998	0.0321188923509532	0.929455513058557	Gigaxonin	GAN	Q9H2C0	8139	GAN
X10056.5	3039	-0.0473701019267908	0.0319635017489583	0.138443476719852	Forkhead box protein M1	FOXM1	Q08050	2305	FOXM1
X10058.1	3061	0.0405662826830237	0.0305872301109428	0.184857232166796	UV excision repair protein RAD23 homolog A	RD23A	P54725	5886	RAD23A
X10063.10	3069	0.00860007892260945	0.0330232163095187	0.794553433454089	E3 ubiquitin-protein ligase FANCL	FANCL	Q9NW38	55120	FANCL
X10064.12	3001	-0.00328306558300271	0.0318034716745578	0.917787571997095	Putative hydrolase RBBP9	RBBP9	O75884	10741	RBBP9
X10069.2	2859	-0.0433181444855811	0.0343143496930362	0.206912024781623	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	PIN1	Q13526	5300	PIN1
X10070.22	3061	0.0126979029006781	0.0331271025376017	0.70151787152956	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2	PLCG2	P16885	5336	PLCG2
X10073.22	3050	-0.0503869855782786	0.0321231373294839	0.116855932510907	Tyrosyl-DNA phosphodiesterase 1	TYDP1	Q9NUW8	55775	TDP1
X10074.128	3000	-0.0121858882538143	0.0337129581275464	0.717781276965821	Bromodomain-containing protein 2	BRD2	P25440	6046	BRD2
X10075.75	3008	-0.0150637358280945	0.0327683745607857	0.645762650722966	Acyl-CoA-binding domain-containing protein 6	ACBD6	Q9BR61	84320	ACBD6
X10076.1	3011	0.00877112125687082	0.0336253975407629	0.794227674969291	AP-4 complex subunit mu-1	AP4M1	O00189	9179	AP4M1
X10078.5	3043	-0.00444899736999012	0.0317144448944708	0.888445781205206	BAG family molecular chaperone regulator 3	BAG3	O95817	9531	BAG3
X10080.9	3001	-0.0207422194342626	0.03337991192176	0.534385317626562	Translation initiation factor eIF-2B subunit alpha	EI2BA	Q14232	1967	EIF2B1
X10081.17	3024	-0.0230335784589835	0.0319463861259962	0.470961337844991	DNA-binding protein SATB2	SATB2	Q9UPW6	23314	SATB2
X10082.251	3053	0.0156783666109446	0.0276533617599898	0.570783071425345	Neurofilament light polypeptide	NFL	P07196	4747	NEFL
X10085.25	3048	-0.00907183960397347	0.0324101254607295	0.779567610975442	Steroidogenic acute regulatory protein, mitochondrial	STAR	P49675	6770	STAR
X10086.39	3039	0.0641462712827294	0.0317582731719119	0.043489687634348	Cystathionine beta-synthase	CBS	P35520	102724560	CBS
X10087.10	3033	0.0224086309184685	0.0328958348095226	0.495797733316129	Alpha-crystallin A chain	Alpha crystallin A chain	P02489	102724652	CRYAA
X10088.37	2982	0.0194746617316004	0.0326502049798238	0.550911270406817	Adenine phosphoribosyltransferase	APT	P07741	353	APRT
X10089.7	3015	0.0261617681283144	0.027649797939834	0.344131903094612	N-acetylserotonin O-methyltransferase-like protein	ASML	O95671	8623	ASMTL
X10336.3	3015	-0.00587626019207617	0.0327039927987957	0.857415837017031	E3 ubiquitin-protein ligase CHIP	CHIP	Q9UNE7	10273	STUB1
X10339.48	3060	0.0166557422319255	0.032878575762298	0.612484009044048	Gamma-enolase	NSE	P09104	2026	ENO2
X10342.55	2846	-0.0171922156868483	0.0316508097288395	0.587046079835333	E3 SUMO-protein ligase PIAS4	PIAS4	Q8N2W9	51588	PIAS4
X10346.5	3054	0.0175176701683898	0.0310397018301812	0.572548757927675	Signal transducer and activator of transcription 3	STAT3	P40763	6774	STAT3
X10351.51	2869	-0.00384100339743245	0.0337273910354009	0.909337964555465	Interferon regulatory factor 1	IRF1	P10914	3659	IRF1
X10354.57	2861	0.0440964444819184	0.0328488260030049	0.17957222670233	Signal transducer and activator of transcription 3	STAT3	P40763	6774	STAT3
X10356.21	3011	-0.0261453784360634	0.0333393212642585	0.432973102782452	Transcription factor AP-1	c-Jun	P05412	3725	JUN
X10361.25	3043	0.0465227241547957	0.0332676485641067	0.162084740636496	2'-5'-oligoadenylate synthase 1	OAS1	P00973	4938	OAS1
X10362.35	3014	0.0213159502847328	0.0334588153739309	0.524121480791919	Myc proto-oncogene protein	c-Myc	P01106	4609	MYC
