"","rs55640133","rs6557980","rs2741342","rs2565048","rs34181437","rs35467877","rs4149258","rs7341557","rs2640724","rs7982","rs11136000","rs4236673","rs11787077","rs1532276","rs1532277","rs1532278","rs9331896","rs2070926","rs867230","rs9331888","rs536332","rs11136001","rs4732732","rs530324","rs138529507","rs12549671","rs12542107","rs117606656"
"rs55640133",1,0.945165,0.046185,0.0285875,0.0216861,0.00802296,0.0210638,0.0212436,0.00183423,0.00158596,0.00190268,0.00147865,0.00195738,0.00191211,0.00153923,0.00133624,0.00223949,0.0018623,0.00250468,0.0045637,0.00668017,0.00821475,0.00819318,0.00759915,0.00269509,0.000365268,0.00923947,0.00234852
"rs6557980",0.945165,1,0.0450102,0.0270685,0.0205754,0.00729305,0.0199525,0.020263,0.00172833,0.00143068,0.00173876,0.00136456,0.00178115,0.00175398,0.00143218,0.00121621,0.00202911,0.00170649,0.00232833,0.00417467,0.00551095,0.0070502,0.00704731,0.006525,0.00234598,0.000277451,0.00798908,0.00207536
"rs2741342",0.046185,0.0450102,1,0.680977,0.28966,0.0893776,0.269039,0.257445,0.0168485,0.00170687,0.00154105,0.00156011,0.00148749,0.00148143,0.00159634,0.00194044,0.00281537,0.00318935,0.00267733,0.0025513,0.0173163,0.0110145,0.0109384,0.0134042,0.0311391,1.43625e-05,0.0115381,0.0294459
"rs2565048",0.0285875,0.0270685,0.680977,1,0.200083,0.0632274,0.188037,0.17834,0.00323543,2.98394e-07,2.14724e-05,3.81397e-06,1.56335e-05,1.31102e-05,1.62596e-06,1.37529e-05,0.000361879,0.000230045,0.000279877,0.00924774,0.00880796,0.00544198,0.00537881,0.00589888,0.0205228,0.000943592,0.006835,0.019185
"rs34181437",0.0216861,0.0205754,0.28966,0.200083,1,0.284297,0.916553,0.89114,0.152667,0.0831499,0.081428,0.0829077,0.0811005,0.081215,0.0831006,0.0844277,0.0779099,0.0802215,0.0768202,0.0153161,0.0449328,0.0320431,0.0320142,0.0327273,0.112754,0.0086863,0.030023,0.102242
"rs35467877",0.00802296,0.00729305,0.0893776,0.0632274,0.284297,1,0.280496,0.266632,0.0634859,0.0301282,0.0295336,0.0297696,0.0294903,0.0294963,0.0298939,0.0302345,0.02896,0.0295965,0.0289443,0.00715908,0.0182547,0.0132679,0.0132344,0.0138517,0.394336,0.0052832,0.0127985,0.351279
"rs4149258",0.0210638,0.0199525,0.269039,0.188037,0.916553,0.280496,1,0.899035,0.153867,0.0820227,0.0810145,0.0808749,0.0806811,0.080704,0.0809815,0.0824415,0.0786129,0.0792803,0.0766947,0.014862,0.0418958,0.0334582,0.0333744,0.0309924,0.113236,0.00817074,0.0288253,0.102901
"rs7341557",0.0212436,0.020263,0.257445,0.17834,0.89114,0.266632,0.899035,1,0.171958,0.0919622,0.0908536,0.0908525,0.0906812,0.0908001,0.0910714,0.0926863,0.0872113,0.0881046,0.0852744,0.0180238,0.0485722,0.0363857,0.0363011,0.0367316,0.161248,0.010386,0.0335661,0.146819
"rs2640724",0.00183423,0.00172833,0.0168485,0.00323543,0.152667,0.0634859,0.153867,0.171958,1,0.279969,0.27429,0.278169,0.273761,0.27417,0.279338,0.28381,0.264593,0.269566,0.263642,0.0684054,0.0933828,0.0896358,0.0895224,0.0944263,0.0659041,0.016289,0.0692751,0.0599504
"rs7982",0.00158596,0.00143068,0.00170687,2.98394e-07,0.0831499,0.0301282,0.0820227,0.0919622,0.279969,1,0.984245,0.982395,0.98238,0.98134,0.984101,0.970291,0.936876,0.939994,0.910736,0.242991,0.242922,0.160249,0.160049,0.15939,0.0435473,0.0258965,0.127397,0.0395736
"rs11136000",0.00190268,0.00173876,0.00154105,2.14724e-05,0.081428,0.0295336,0.0810145,0.0908536,0.27429,0.984245,1,0.980195,0.997333,0.996095,0.981914,0.968069,0.95063,0.937231,0.922798,0.246607,0.241047,0.163564,0.162914,0.16212,0.0436266,0.0271315,0.129805,0.0394587
"rs4236673",0.00147865,0.00136456,0.00156011,3.81397e-06,0.0829077,0.0297696,0.0808749,0.0908525,0.278169,0.982395,0.980195,1,0.982307,0.983158,0.997137,0.981354,0.941845,0.951671,0.916571,0.243386,0.248159,0.159772,0.159646,0.160224,0.0444689,0.0263191,0.126795,0.0402502
"rs11787077",0.00195738,0.00178115,0.00148749,1.56335e-05,0.0811005,0.0294903,0.0806811,0.0906812,0.273761,0.98238,0.997333,0.982307,1,0.99819,0.984031,0.97021,0.952669,0.939304,0.92481,0.24681,0.240465,0.164498,0.163847,0.163082,0.0437631,0.0273917,0.130711,0.0394906
"rs1532276",0.00191211,0.00175398,0.00148143,1.31102e-05,0.081215,0.0294963,0.080704,0.0908001,0.27417,0.98134,0.996095,0.983158,0.99819,1,0.98583,0.971999,0.954451,0.941076,0.924921,0.247155,0.241171,0.164305,0.163654,0.163184,0.0437694,0.0273284,0.130613,0.0394972
"rs1532277",0.00153923,0.00143218,0.00159634,1.62596e-06,0.0831006,0.0298939,0.0809815,0.0910714,0.279338,0.984101,0.981914,0.997137,0.984031,0.98583,1,0.983979,0.940404,0.954296,0.919361,0.24325,0.247504,0.160695,0.160568,0.161032,0.0446365,0.0260489,0.127484,0.0403017
"rs1532278",0.00133624,0.00121621,0.00194044,1.37529e-05,0.0844277,0.0302345,0.0824415,0.0926863,0.28381,0.970291,0.968069,0.981354,0.97021,0.971999,0.983979,1,0.927048,0.938901,0.906206,0.23898,0.240446,0.156421,0.156291,0.156353,0.0449998,0.0247641,0.123822,0.0408334
"rs9331896",0.00223949,0.00202911,0.00281537,0.000361879,0.0779099,0.02896,0.0786129,0.0872113,0.264593,0.936876,0.95063,0.941845,0.952669,0.954451,0.940404,0.927048,1,0.979918,0.963638,0.255411,0.247124,0.166753,0.166027,0.165527,0.0431858,0.0273481,0.133374,0.0391687
"rs2070926",0.0018623,0.00170649,0.00318935,0.000230045,0.0802215,0.0295965,0.0792803,0.0881046,0.269566,0.939994,0.937231,0.951671,0.939304,0.941076,0.954296,0.938901,0.979918,1,0.963384,0.253052,0.25198,0.163514,0.16339,0.163659,0.044508,0.025727,0.13043,0.0404021
"rs867230",0.00250468,0.00232833,0.00267733,0.000279877,0.0768202,0.0289443,0.0766947,0.0852744,0.263642,0.910736,0.922798,0.916571,0.92481,0.924921,0.919361,0.906206,0.963638,0.963384,1,0.262934,0.2452,0.163999,0.163506,0.163755,0.0435366,0.0280067,0.131418,0.0397245
"rs9331888",0.0045637,0.00417467,0.0025513,0.00924774,0.0153161,0.00715908,0.014862,0.0180238,0.0684054,0.242991,0.246607,0.243386,0.24681,0.247155,0.24325,0.23898,0.255411,0.253052,0.262934,1,0.0792922,0.0303337,0.030314,0.0345072,0.0105136,0.114263,0.0177552,0.0089776
"rs536332",0.00668017,0.00551095,0.0173163,0.00880796,0.0449328,0.0182547,0.0418958,0.0485722,0.0933828,0.242922,0.241047,0.248159,0.240465,0.241171,0.247504,0.240446,0.247124,0.25198,0.2452,0.0792922,1,0.68422,0.684434,0.649333,0.0438819,0.240777,0.566136,0.0394125
"rs11136001",0.00821475,0.0070502,0.0110145,0.00544198,0.0320431,0.0132679,0.0334582,0.0363857,0.0896358,0.160249,0.163564,0.159772,0.164498,0.164305,0.160695,0.156421,0.166753,0.163514,0.163999,0.0303337,0.68422,1,0.998371,0.891986,0.031209,0.334258,0.823038,0.0277251
"rs4732732",0.00819318,0.00704731,0.0109384,0.00537881,0.0320142,0.0132344,0.0333744,0.0363011,0.0895224,0.160049,0.162914,0.159646,0.163847,0.163654,0.160568,0.156291,0.166027,0.16339,0.163506,0.030314,0.684434,0.998371,1,0.892629,0.0312589,0.334035,0.822383,0.0277715
"rs530324",0.00759915,0.006525,0.0134042,0.00589888,0.0327273,0.0138517,0.0309924,0.0367316,0.0944263,0.15939,0.16212,0.160224,0.163082,0.163184,0.161032,0.156353,0.165527,0.163659,0.163755,0.0345072,0.649333,0.891986,0.892629,1,0.0323202,0.347911,0.829577,0.0289999
"rs138529507",0.00269509,0.00234598,0.0311391,0.0205228,0.112754,0.394336,0.113236,0.161248,0.0659041,0.0435473,0.0436266,0.0444689,0.0437631,0.0437694,0.0446365,0.0449998,0.0431858,0.044508,0.0435366,0.0105136,0.0438819,0.031209,0.0312589,0.0323202,1,0.0113804,0.0312888,0.883497
"rs12549671",0.000365268,0.000277451,1.43625e-05,0.000943592,0.0086863,0.0052832,0.00817074,0.010386,0.016289,0.0258965,0.0271315,0.0263191,0.0273917,0.0273284,0.0260489,0.0247641,0.0273481,0.025727,0.0280067,0.114263,0.240777,0.334258,0.334035,0.347911,0.0113804,1,0.397086,0.0101243
"rs12542107",0.00923947,0.00798908,0.0115381,0.006835,0.030023,0.0127985,0.0288253,0.0335661,0.0692751,0.127397,0.129805,0.126795,0.130711,0.130613,0.127484,0.123822,0.133374,0.13043,0.131418,0.0177552,0.566136,0.823038,0.822383,0.829577,0.0312888,0.397086,1,0.0283333
"rs117606656",0.00234852,0.00207536,0.0294459,0.019185,0.102242,0.351279,0.102901,0.146819,0.0599504,0.0395736,0.0394587,0.0402502,0.0394906,0.0394972,0.0403017,0.0408334,0.0391687,0.0404021,0.0397245,0.0089776,0.0394125,0.0277251,0.0277715,0.0289999,0.883497,0.0101243,0.0283333,1
