Analyte	Gene	CHR	TWAS.Z	TWAS.P	P0	fdr_p	specific	topSNP	Discovery	NEW_hit	Tissue	P0_add	P0_cum	label_color	nudge_y
NA	SLC35A4	5	4.98321	6.25e-07	140564456	0.001099375	0	0	Primary	NA	B	992234598	1132799054	NA	NA
NA	TMEM106B	7	4.792	1.65e-06	12211241	0.001451175	0	0	Primary	NA	B	1403002861	1415214102	NA	NA
NA	ENPP6	4	-4.671	3e-06	184088706	0.001759	0	0	Primary	NA	B	775968409	960057115	NA	NA
NA	ICA1L	2	-4.477	7.57e-06	202775967	0.0033289075	0	0	Primary	NA	B	276724047	479500014	NA	NA
NA	AGFG2	7	-4.20555	2.6e-05	100539211	0.0091468	0	0	Primary	NA	B	1403002861	1503542072	NA	NA
NA	STX4	16	3.905	9.42e-05	31032889	0.0268875714285714	0	0	Primary	NA	B	2835872847	2866905736	NA	NA
NA	ITGAX	16	-3.8739	0.000107	31355134	0.0268875714285714	0	0	Primary	NA	B	2835872847	2867227981	NA	NA
NA	ANO5	11	3.703	0.000213	22193176	0.0297676923076923	0	0	Primary	NA	B	2097428944	2119622120	NA	NA
NA	TRAF3	14	-3.767	0.000165	102777476	0.0297676923076923	0	0	Primary	NA	B	2568732932	2671510408	NA	NA
NA	STXBP6	14	3.71896	2e-04	24809656	0.0297676923076923	0	0	Primary	NA	B	2568732932	2593542588	NA	NA
NA	DOC2A	16	-3.8038	0.000143	30005509	0.0297676923076923	0	0	Primary	NA	B	2835872847	2865878356	NA	NA
NA	BIN1	2	3.76035	0.00017	127048027	0.0297676923076923	0	0	Primary	NA	B	276724047	403772074	NA	NA
NA	DTYMK	2	3.695	0.00022	241675742	0.0297676923076923	0	0	Primary	NA	B	276724047	518399789	NA	NA
NA	NSF	17	-3.5892	0.000332	46590669	0.0417134285714286	0	0	Primary	NA	B	2955820772	3002411441	NA	NA
NA	PTPMT1	11	3.48078	5e-04	47565430	0.0586333333333333	0	0	Primary	NA	B	2097428944	2144994374	NA	NA
NA	IQSEC3	12	3.374	0.000741	66765	0.0808105294117647	0	0	Primary	NA	B	2261682439	2261749204	NA	NA
NA	JMJD7	15	3.359	0.000781	41828085	0.0808105294117647	0	0	Primary	NA	B	2704219249	2746047334	NA	NA
NA	SRA1	5	-3.33255	0.000861	140537340	0.0841388333333333	0	0	Primary	NA	B	992234598	1132771938	NA	NA
NA	MINDY2	15	-3.291	0.000997	58771192	0.0891226666666667	0	0	Primary	NA	B	2704219249	2762990441	NA	NA
NA	OMG	17	-3.273	0.001064	31272013	0.0891226666666667	0	0	Primary	NA	B	2955820772	2987092785	NA	NA
NA	TMEM43	3	3.2823	0.00103	14124940	0.0891226666666667	0	0	Primary	NA	B	548458626	562583566	NA	NA
NA	CTSH	15	3.194	0.001403	78921058	0.102828208333333	0	0	Primary	NA	B	2704219249	2783140307	NA	NA
NA	ITGAM	16	3.2016	0.00137	31259990	0.102828208333333	0	0	Primary	NA	B	2835872847	2867132837	NA	NA
NA	CD2AP	6	3.194	0.0014	47477789	0.102828208333333	0	0	Primary	NA	B	1202467741	1249945530	NA	NA
NA	CAB39L	13	3.169	0.00153	49308650	0.1076508	0	0	Primary	NA	B	2424451348	2473759998	NA	NA
NA	INPP5E	9	3.147	0.00165	136428619	0.111628846153846	0	0	Primary	NA	B	1766574898	1903003517	NA	NA
NA	ADRA1A	8	3.1352	0.00172	26748150	0.112054814814815	0	0	Primary	NA	B	1591733856	1618482006	NA	NA
NA	PIP4K2A	10	3.057	0.00224	22534849	0.112195675675676	0	0	Primary	NA	B	1934034850	1956569699	NA	NA
NA	PIK3C2A	11	-3.09125	0.001993	17077730	0.112195675675676	0	0	Primary	NA	B	2097428944	2114506674	NA	NA
NA	NOPCHAP1	12	-3.073	0.002119	104986310	0.112195675675676	0	0	Primary	NA	B	2261682439	2366668749	NA	NA
NA	ITPK1	14	3.06086	0.002207	92936914	0.112195675675676	0	0	Primary	NA	B	2568732932	2661669846	NA	NA
NA	MVP	16	3.043	0.00234	29820394	0.112195675675676	0	0	Primary	NA	B	2835872847	2865693241	NA	NA
