Analyte	Gene	Chromosome	Gene_start	Gene_end	Novelty	Discovery	Female_PWAS.Z	Female_PWAS.P	Male_PWAS.Z	Male_PWAS.P	COLOC_PP4	SMR_pFDR	HEIDI_P	best_pQTL_COLOC_PP4	best_pQTL_COLOC_sex
NA	YARS1	1	32775237	32818031	Novel_gene	Both	3.65741	0.000255	-0.62528	0.53178	0.13	0.027369517	NA	0.303	F
NA	MINDY1	1	150996549	151008376	Novel_gene	Secondary	-3.478434	0.000504	-1.4745	0.14035	0.132689841	0.180298431	0.9684737	0.164	M
NA	TDRKH	1	151770107	151791416	Novel_gene	Both	3.74877	0.000178	-0.38949	0.69692	0.14	0.049288973	0.2223061	0.151	M
X3642.4	CD84	1	160541095	160579516	Novel_gene.known_locus	Secondary	3.8088	0.00014	0.9016	0.367	0.72	0.003289554	0.4813182	0.808	M
NA	ADAM17	2	9488486	9556732	Known_gene	Secondary	-3.54278	0.000396	-0.71653	0.474	0.53	0.013129185	0.1206906	0.526	F
NA	MFSD6	2	190408355	190509205	Novel_gene	Secondary	-3.46305	0.000534	0.164659	0.869	0.19	0.012863047	0.2995661	0.227	F
NA	INPP5D	2	233059967	233207903	Novel_gene.known_locus	Primary	3.36277	0.000772	1.7382	0.0822	0.57	0.15589358	0.04430887	0.777	F
NA	USP19	3	49108046	49120938	Novel_gene	Secondary	-3.61962	0.000295	-1.23793	0.215743	0.32	0.015408089	0.4294204	0.322	F
NA	USP4	3	49277144	49340712	Novel_gene	Secondary	-3.69782	0.000217	-0.4165	0.677047	0.41	0.015230365	0.5277345	0.407	F
X9223.11	MANF	3	51385291	51389397	Novel_gene	Secondary	-3.3568	0.000788	-1.6259	0.10396	0.55	0.007135738	0.6442047	0.572	F
NA	NCK1	3	136862208	136951606	Novel_gene	Primary	4.081426	0.0000448	0.8283	0.40751	0.33	0.008543693	0.005505811	0.331	F
NA	METTL14	4	118685392	118715433	Novel_gene	Secondary	-3.9442	0.0000801	0.1622	0.871	0.27	0.013479593	0.3260193	0.306	F
NA	RAPGEF2	4	159103013	159360174	Novel_gene	Secondary	4.0894	0.0000433	0.362	0.717352	0.03	0.4577839	0.01128176	0.274	M
NA	ACSL6	5	131949973	132012243	Novel_gene	Primary	3.5831	0.00034	0.20399	0.838	0.16	0.027860188	0.8328208	0.176	F
NA	CDK14	7	90466424	91210590	Novel_gene	Both	-4.41427	0.0000101	-0.4583	0.647	0.77	0.007135738	0.8334164	0.774	F
NA	RASA4B	7	102479976	102517777	Novel_gene	Both	4.49856	0.00000684	1.5094	0.131	0.04	0.003289554	0.9360298	0.127	M
X3000.66	MBL2	10	52765380	52772784	Novel_gene	Secondary	3.4675	0.000525	1.4818	0.1384	0.2	0.033158593	0.895086	0.291	F
NA	ANXA11	10	80150889	80205572	Known_gene	Both	3.7444	0.000181	0.5845	0.55886	0.003457352	0.00105751	0.03989912	0.003	F
NA	TSPAN14	10	80454265	80533124	Known_gene	Both	5.8827	4.04E-09	1.2742	0.20258	0.99	0.000244199	0.8504965	0.986	F
NA	SFXN4	10	119140767	119165714	Novel_gene	Primary	-3.383	0.000717	-0.4595	0.64588	0.73	0.003289554	0.9445335	0.729	F
NA	PSEN1	14	73136418	73223691	Novel_gene	Both	-4.5741	0.00000478	-1.76631	0.077344	0.57	0.013684895	0.491641	0.566	F
NA	ETFA	15	76188555	76311730	Novel_gene	Both	4.83862	0.00000131	0.9431	0.346	0.79	0.001090655	0.1663833	0.807	F
NA	SCAPER	15	76347904	76905444	Novel_gene	Primary	-3.572	0.000354	-0.9493	0.342	0.66	0.00184002	0.4672593	0.664	F
NA	RCN2	15	76931738	76954393	Novel_gene	Secondary	3.44718	0.000566	1.24	0.215149	0.19	0.010968176	0.1519871	0.656	M
