ENSG_ID	ENSG	Analyte	updated_Gene	Gene	Tissue	CHR	Start_hg19	End_hg19	Start_hg38	End_hg38	hg19_range	Gender	Discovery
ENSG00000134684.YARS	ENSG00000134684	NA	YARS1	YARS	Brain	1	32743866	33779043	32278265	33313442	1035177	Female	Primary
ENSG00000143409.FAM63A	ENSG00000143409	NA	MINDY1	FAM63A	Brain	1	150472781	151477312	150500305	151504836	1004531	Female	Secondary
ENSG00000182134.TDRKH	ENSG00000182134	NA	TDRKH	TDRKH	Brain	1	151250421	152259742	151277945	152287266	1009321	Female	Primary
ENSG00000151694.ADAM17	ENSG00000151694	NA	ADAM17	ADAM17	Brain	2	9129034	10195067	8988905	10054940	1066033	Female	Secondary
ENSG00000151690.MFSD6	ENSG00000151690	NA	MFSD6	MFSD6	Brain	2	190780698	191869911	189915972	191005185	1089213	Female	Secondary
ENSG00000168918.INPP5D	ENSG00000168918	NA	INPP5D	INPP5D	Brain	2	233425541	234616357	232560831	233707711	1190816	Female	Primary
ENSG00000172046.USP19	ENSG00000172046	NA	USP19	USP19	Brain	3	48658467	49658084	48621034	49620651	999617	Female	Secondary
ENSG00000114316.USP4	ENSG00000114316	NA	USP4	USP4	Brain	3	48816725	49878113	48779292	49840680	1061388	Female	Secondary
ENSG00000158092.NCK1	ENSG00000158092	NA	NCK1	NCK1	Brain	3	136088038	137168421	136369196	137449579	1080383	Female	Primary
ENSG00000145388.METTL14	ENSG00000145388	NA	METTL14	METTL14	Brain	4	119109520	120133549	118188365	119212394	1024029	Female	Secondary
ENSG00000109756.RAPGEF2	ENSG00000109756	NA	RAPGEF2	RAPGEF2	Brain	4	159546327	160777213	158625175	159856061	1230886	Female	Secondary
ENSG00000164398.ACSL6	ENSG00000164398	NA	ACSL6	ACSL6	Brain	5	130648994	131847892	131313301	132512200	1198898	Female	Primary
ENSG00000058091.CDK14	ENSG00000058091	NA	CDK14	CDK14	Brain	7	89595954	91339855	89966640	91710540	1743901	Female	Secondary
ENSG00000170667.RASA4B	ENSG00000170667	NA	RASA4B	RASA4B	Brain	7	101626640	102643152	101983360	103002705	1016512	Female	Secondary
ENSG00000122359.ANXA11	ENSG00000122359	NA	ANXA11	ANXA11	Brain	10	81577614	82464634	79817858	80704878	887020	Female	Secondary
ENSG00000108219.TSPAN14	ENSG00000108219	NA	TSPAN14	TSPAN14	Brain	10	81715738	82785364	79955982	81025608	1069626	Female	Secondary
ENSG00000183605.SFXN4	ENSG00000183605	NA	SFXN4	SFXN4	Brain	10	120400410	121423961	118640898	119664449	1023551	Female	Primary
ENSG00000080815.PSEN1	ENSG00000080815	NA	PSEN1	PSEN1	Brain	14	73107771	74187423	72641063	73720720	1079652	Female	Primary
ENSG00000140374.ETFA	ENSG00000140374	NA	ETFA	ETFA	Brain	15	76014429	77103479	75722088	76811138	1089050	Female	Primary
ENSG00000140386.SCAPER	ENSG00000140386	NA	SCAPER	SCAPER	Brain	15	76150965	77697703	75858624	77405361	1546738	Female	Primary
ENSG00000117906.RCN2	ENSG00000117906	NA	RCN2	RCN2	Brain	15	76724882	77730257	76432541	77437915	1005375	Female	Secondary
ENSG00000103257.SLC7A5	ENSG00000103257	NA	SLC7A5	SLC7A5	Brain	16	87364378	88381254	87330772	88347648	1016876	Female	Secondary
ENSG00000029725.RABEP1	ENSG00000029725	NA	RABEP1	RABEP1	Brain	17	4687721	5785424	4784426	5882104	1097703	Female	Primary
ENSG00000175662.TOM1L2	ENSG00000175662	NA	TOM1L2	TOM1L2	Brain	17	17249606	18290993	17346292	18387679	1041387	Female	Both
ENSG00000129353.SLC44A2	ENSG00000129353	NA	SLC44A2	SLC44A2	Brain	19	10213154	11243445	10102478	11132769	1030291	Female	Primary
ENSG00000142453.CARM1	ENSG00000142453	NA	CARM1	CARM1	Brain	19	10482351	11516007	10371675	11405331	1033656	Female	Primary
ENSG00000130244.FAM98C	ENSG00000130244	NA	FAM98C	FAM98C	Brain	19	38397213	39399277	37906573	38908637	1002064	Female	Secondary
ENSG00000100299.ARSA	ENSG00000100299	NA	ARSA	ARSA	Brain	22	50563140	51219006	50124711	50780578	655866	Female	Primary
NA	NA	X3642.4	CD84	CD84	CSF	1	NA	NA	159526132	161525673	NA	Female	Secondary
NA	NA	X9223.11	MANF	MANF	CSF	3	NA	NA	50618932	52617950	NA	Female	Secondary
NA	NA	X3000.66	MBL2	MBL2	CSF	10	NA	NA	51775526	53774417	NA	Female	Secondary
NA	NA	X16616.137	ENO3	ENO3	CSF	17	NA	NA	3942633	5942432	NA	Female	Secondary
ENSG00000131378.RFTN1	ENSG00000131378	NA	RFTN1	RFTN1	Brain	3	15855531	17051328	15814024	17009836	1195797	Male	Secondary
ENSG00000079691.LRRC16A	ENSG00000079691	NA	CARMIL1	LRRC16A	Brain	6	24780263	26119459	24780035	26119231	1339196	Male	Secondary
ENSG00000167085.PHB	ENSG00000167085	NA	PHB1	PHB	Brain	17	46987665	47990730	48910303	49913366	1003065	Male	Secondary
NA	NA	X18331.3	GBA1	GBA	CSF	1	NA	NA	154236401	156236367	NA	Male	Secondary
NA	NA	X7905.30	HP	HP	CSF	16	NA	NA	71046628	73045413	NA	Female	Primary
