SomaID	type	EntrezGeneID	EntrezGeneSymbol	TSS	CHR
X10037.98	cis	89858	SIGLEC12	51491227	19
X10361.25	cis	4938	OAS1	112905856	12
X10365.132	cis|trans	3593|51561	IL12B|IL23A	159314780	5
X10382.1	cis	27329	ANGPTL3	62597520	1
X10391.1	cis	27329	ANGPTL3	62597520	1
X10396.6	cis	4170	MCL1	150560895	1
X10419.1	cis	286133	SCARA5	27869883	8
X10420.30	cis	55179	FAIM	138608606	3
X10439.57	cis	280	AMY2B	103553815	1
X10440.26	cis	79827	CLMP	123069872	11
X10442.1	cis	147744	TMEM190	55376826	19
X10445.20	cis	55937	APOM	31652416	6
X10451.11	cis	4924	NUCB1	48900050	19
X10472.53	cis	8764	TNFRSF14	2555639	1
X10479.18	cis	4319	MMP10	102770502	11
X10490.3	cis	6184	RPN1	128619969	3
X10499.1	cis	113277	TMEM106A	43211835	17
X10569.28	cis	4237	MFAP2	16974502	1
X10576.7	cis	84898	PLXDC2	19816239	10
X10589.7	cis	154064	RAET1L	150018334	6
X10612.18	cis	8985	PLOD3	101205977	7
X10618.190	cis	4036	LRP2	169127109	2
X10620.21	cis	4477	MSMB	46033307	10
X10666.7	cis	84572	GNPTG	1351931	16
X10708.3	cis	2797	GNRH2	3043622	20
X10714.7	cis	1636	ACE	63477061	17
X10737.96	cis	1992	SERPINB1	2832332	6
X10738.11	cis	10516	FBLN5	91869411	14
X10761.5	cis	10959	TMED2	123584533	12
X10781.19	cis	339390	CLEC4G	7728957	19
X10809.14	cis	3820	KLRB1	9594551	12
X10816.150	cis	29992	PILRA	100367530	7
X10818.36	cis	6609	SMPD1	6390440	11
X10827.67	cis	645191	LINGO3	2287164	19
X10832.24	cis	9331	B4GALT6	31622246	18
X10833.64	cis	64399	HHIP	144646156	4
X10851.77	cis	10148	EBI3	4229523	19
X10892.8	cis	9180	OSMR	38845858	5
X10894.25	cis	10590	SCGN	25652201	6
X10916.44	cis	22925	PLA2R1	159932006	2
X10924.258	cis	124936	CYB5D2	4143168	17
X10938.13	cis	965	CD58	116514534	1
X10966.1	cis	197	AHSG	186613060	3
X10970.3	cis	419	ART3	76011184	4
X10974.20	cis	84651	SPINK7	148312419	5
X10977.55	cis	221044	UCMA	13221766	10
X11067.13	cis	632	BGLAP	156242184	1
